ID,filename.x,TYPE,BOX_AND_CODE,STATE,fullest_code,type_branch,rep,cluster,Region,zip_code
Vicky2.d4.421.C11B.mzXML.Peak.area,Vicky2-d4-421-C11B.mzXML,isolate,421-C11,CO,Vicky2-d4-421-C11B,branch_x,b,clu6_6,Southwest,81506
Vicky2.d5.431.A2A.mzXML.Peak.area,Vicky2-d5-431-A2A.mzXML,isolate,431-A2,NC,Vicky2-d5-431-A2A,branch_x,a,clu6_2,Southeast,27517
Vicky2.d5.431.A2B.mzXML.Peak.area,Vicky2-d5-431-A2B.mzXML,isolate,431-A2,NC,Vicky2-d5-431-A2B,branch_x,b,clu6_2,Southeast,27517
Vicky1.g12.334.A8A.mzXML.Peak.area,Vicky1-g12-334-A8A.mzXML,isolate,334-A8,UT,Vicky1-g12-334-A8A,branch_w,a,clu6_2,Southwest,84321
Vicky1.g12.334.A8B.mzXML.Peak.area,Vicky1-g12-334-A8B.mzXML,isolate,334-A8,UT,Vicky1-g12-334-A8B,branch_w,b,clu6_2,Southwest,84321
Vicky1.h4.269.E9A.mzXML.Peak.area,Vicky1-h4-269-E9A.mzXML,isolate,269-E9,UT,Vicky1-h4-269-E9A,branch_w,a,clu6_2,Southwest,84318
Vicky1.h4.269.E9B.mzXML.Peak.area,Vicky1-h4-269-E9B.mzXML,isolate,269-E9,UT,Vicky1-h4-269-E9B,branch_w,b,clu6_2,Southwest,84318
Vicky1.h5.269.E10A.mzXML.Peak.area,Vicky1-h5-269-E10A.mzXML,isolate,269-E10,UT,Vicky1-h5-269-E10A,branch_w,a,clu6_2,Southwest,84318
Vicky1.h5.269.E10B.mzXML.Peak.area,Vicky1-h5-269-E10B.mzXML,isolate,269-E10,UT,Vicky1-h5-269-E10B,branch_w,b,clu6_2,Southwest,84318
Vicky2.a10.386.F1A.mzXML.Peak.area,Vicky2-a10-386-F1A.mzXML,isolate,386-F1,UT,Vicky2-a10-386-F1A,branch_w,a,clu6_2,Southwest,84328
Vicky2.a10.386.F1B.mzXML.Peak.area,Vicky2-a10-386-F1B.mzXML,isolate,386-F1,UT,Vicky2-a10-386-F1B,branch_w,b,clu6_2,Southwest,84328
Vicky2.a11.157.H2A.mzXML.Peak.area,Vicky2-a11-157-H2A.mzXML,isolate,157-H2,UT,Vicky2-a11-157-H2A,branch_w,a,clu6_2,Southwest,84758
Vicky2.a11.157.H2B.mzXML.Peak.area,Vicky2-a11-157-H2B.mzXML,isolate,157-H2,UT,Vicky2-a11-157-H2B,branch_w,b,clu6_2,Southwest,84758
